,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,8.012470580855744,6.9321807499073245,5.216191499277249,40,10,4,50,30,0.0,False,0
0,8.085063954809424,7.005301461979762,5.265771232373966,44,11,4,50,30,0.0,False,0
0,8.031760718564934,7.025404782308378,5.2392793267819355,48,12,4,50,30,0.0,False,0
0,8.118617093716741,6.971095923472802,5.42068406333309,52,13,4,50,30,0.0,False,0
0,8.020257813428756,6.949844185784087,5.269140884468303,56,14,4,50,30,0.0,False,0
0,7.96668032184792,6.909515198240328,5.1584120593061185,60,15,4,50,30,0.0,False,0
0,7.887313102428328,6.884696213578174,5.092679515566701,64,16,4,50,30,0.0,False,0
0,7.813653772898164,6.787522166216313,5.03828117256189,68,17,4,50,30,0.0,False,0
0,8.03974775137013,7.031776829130429,5.164758493649984,72,18,4,50,30,0.0,False,0
0,7.838347914899421,6.835451193975388,5.104463726370498,76,19,4,50,30,0.0,False,0
0,7.872693751259226,6.813274836505926,5.129254469988326,80,20,4,50,30,0.0,False,0
0,8.123851168205666,7.0040591690393725,5.291150175944517,84,21,4,50,30,0.0,False,0
0,7.96842798203081,6.84641817919676,5.286177110492851,88,22,4,50,30,0.0,False,0
0,8.050701411272895,6.83408763430625,5.518957159520791,92,23,4,50,30,0.0,False,0
0,7.940980497862008,6.885808222736543,5.173198155152476,96,24,4,50,30,0.0,False,0
0,7.903456852038078,6.851741200662424,5.210408517178683,100,25,4,50,30,0.0,False,0
0,8.016424192353503,6.9197086284424145,5.237404756471483,104,26,4,50,30,0.0,False,0
0,7.843629555257486,6.64293206814245,5.219721926175023,108,27,4,50,30,0.0,False,0
0,7.879434702215375,6.780701238055407,5.237013636385126,112,28,4,50,30,0.0,False,0
0,7.941730954765173,6.993372003196953,5.214348811207841,116,29,4,50,30,0.0,False,0
0,7.853462967862509,6.847343215332771,5.083349735603952,120,30,4,50,30,0.0,False,0
0,7.989371588246773,6.900647169114848,5.311994783223598,124,31,4,50,30,0.0,False,0
0,7.954520125261455,6.864634335537026,5.275159942416106,128,32,4,50,30,0.0,False,0
0,7.858112124203015,6.857227702384833,5.203939339076917,132,33,4,50,30,0.0,False,0
0,7.7147097658275605,6.719303307437045,4.990400258930166,136,34,4,50,30,0.0,False,0
0,7.954870681995072,6.865250835750146,5.337121049309027,140,35,4,50,30,0.0,False,0
0,7.88882737657917,6.768842387344051,5.377703375357622,144,36,4,50,30,0.0,False,0
0,8.023399908855035,6.7619923791254735,5.442685577268281,148,37,4,50,30,0.0,False,0
0,7.891480038960997,6.775364840216895,5.327858065130314,152,38,4,50,30,0.0,False,0
0,8.017907881597099,6.982155031842282,5.1601277467195645,156,39,4,50,30,0.0,False,0
0,7.959066792822128,6.859965712342557,5.298678319101995,160,40,4,50,30,0.0,False,0
0,9.06459919225465,8.236357660882511,5.154074342453777,5,1,5,50,30,0.0,False,0
0,8.041062917561554,7.222280694130319,4.847615831632523,10,2,5,50,30,0.0,False,0
0,7.69915322772133,6.943688355273231,4.582527833765253,15,3,5,50,30,0.0,False,0
0,7.5958315264110094,6.6661790426328835,4.585183960799359,20,4,5,50,30,0.0,False,0
0,7.4556972430662585,6.571155398572735,4.718700695834059,25,5,5,50,30,0.0,False,0
0,7.471376473598815,6.498754601412273,4.727770574976004,30,6,5,50,30,0.0,False,0
0,7.268698333004399,6.4426739910926685,4.470904888598725,35,7,5,50,30,0.0,False,0
0,7.315705753621403,6.422068208515633,4.597844613634316,40,8,5,50,30,0.0,False,0
0,7.286989988692807,6.474495111880081,4.478543105239254,45,9,5,50,30,0.0,False,0
0,7.235738068495477,6.329589774236524,4.496800293286375,50,10,5,50,30,0.0,False,0
0,7.245312389622867,6.327532275431061,4.612991186488737,55,11,5,50,30,0.0,False,0
0,6.982029618490346,6.1923988123567995,4.342591058516785,60,12,5,50,30,0.0,False,0
0,7.247351238853801,6.418602545620871,4.62165224789405,65,13,5,50,30,0.0,False,0
0,7.339523574588978,6.390317509545646,4.6749822818226745,70,14,5,50,30,0.0,False,0
0,7.165917239601302,6.311898729652356,4.513565762105286,75,15,5,50,30,0.0,False,0
0,7.0957286182078505,6.302595303636444,4.507198736666163,80,16,5,50,30,0.0,False,0
0,7.047060781916545,6.1164330732012,4.445469554462942,85,17,5,50,30,0.0,False,0
0,7.188981269089562,6.318264295884752,4.4855453152568385,90,18,5,50,30,0.0,False,0
0,6.982055656673012,6.153329206664374,4.35099861338722,95,19,5,50,30,0.0,False,0
0,7.2205930483761085,6.318332892229876,4.48043126416884,100,20,5,50,30,0.0,False,0
0,7.187890751527231,6.28195019695373,4.48125013525284,105,21,5,50,30,0.0,False,0
0,7.233407951468026,6.270523935820407,4.665191758290769,110,22,5,50,30,0.0,False,0
0,7.128972863968256,6.123392174193583,4.5638168788874305,115,23,5,50,30,0.0,False,0
0,7.06512481466877,6.279515888619763,4.507426862382971,120,24,5,50,30,0.0,False,0
0,7.170453106923343,6.2406902549576415,4.648799149170709,125,25,5,50,30,0.0,False,0
0,7.140045001699857,6.2133862499347075,4.438895703689759,130,26,5,50,30,0.0,False,0
0,7.097116931743965,6.276795715613325,4.389201239556997,135,27,5,50,30,0.0,False,0
0,7.077676332016966,6.205983773813202,4.567379395401896,140,28,5,50,30,0.0,False,0
0,7.080152332744786,6.18241019925523,4.429986430175193,145,29,5,50,30,0.0,False,0
0,7.068801248599933,6.156900330345316,4.479494231374057,150,30,5,50,30,0.0,False,0
0,7.05392521236233,6.103715071957318,4.520089524951416,155,31,5,50,30,0.0,False,0
0,7.020790565924392,6.059006992895824,4.6180822534446255,160,32,5,50,30,0.0,False,0
0,7.198284339935508,6.386557820055444,4.571898825771343,165,33,5,50,30,0.0,False,0
0,7.109136721763653,6.14077392188684,4.528792821222267,170,34,5,50,30,0.0,False,0
0,7.045144226692875,6.193231204238856,4.451008372945589,175,35,5,50,30,0.0,False,0
0,7.00264825617613,6.127499262227879,4.434232486690346,180,36,5,50,30,0.0,False,0
0,7.074796582663863,6.174255783588201,4.462943872660518,185,37,5,50,30,0.0,False,0
0,7.101440257441547,6.231505066764839,4.480864664312628,190,38,5,50,30,0.0,False,0
0,7.079611639357181,6.176327123381604,4.415875148095888,195,39,5,50,30,0.0,False,0
0,8.178122402009741,7.4875750565686445,4.650493824501762,6,1,6,50,30,0.0,False,0
0,7.326769657678132,6.6007116954247635,4.278060882959391,12,2,6,50,30,0.0,False,0
0,7.068589478368445,6.365580940929881,4.156631544694046,18,3,6,50,30,0.0,False,0
0,6.772200088976475,6.082260928819345,3.96040708547377,24,4,6,50,30,0.0,False,0
0,6.821507965205832,6.107967992754176,4.129318475468472,30,5,6,50,30,0.0,False,0
0,6.727618843401999,6.019656183950424,4.0049054216219835,36,6,6,50,30,0.0,False,0
0,6.73597888493078,6.050212378722797,3.942153331511205,42,7,6,50,30,0.0,False,0
0,6.685771335150352,5.943404016949309,4.055422353277526,48,8,6,50,30,0.0,False,0
0,6.681848964950256,6.033467516747201,3.9645736702608603,54,9,6,50,30,0.0,False,0
0,6.602000624295286,5.966436205855409,3.948229348597387,60,10,6,50,30,0.0,False,0
0,6.65610122772276,5.9165912056397545,4.068167594389,66,11,6,50,30,0.0,False,0
0,6.556300002029792,5.793699325675725,4.051788650432967,72,12,6,50,30,0.0,False,0
0,6.693849875758601,5.913372945064658,3.9884242612466814,78,13,6,50,30,0.0,False,0
0,6.5141332582062255,5.820905079819873,3.9279201442939287,84,14,6,50,30,0.0,False,0
0,6.579090550466001,5.8818587025279,3.9967249899943265,90,15,6,50,30,0.0,False,0
0,6.626661245156849,5.872498939442416,4.048211754814355,96,16,6,50,30,0.0,False,0
0,6.498022806847433,5.8378394684436685,3.994840065374362,102,17,6,50,30,0.0,False,0
0,6.583082315967958,5.845533022883245,4.074777139147884,108,18,6,50,30,0.0,False,0
0,6.5607492560843585,5.816938030428844,4.039462140763983,114,19,6,50,30,0.0,False,0
0,6.53437408375257,5.799731706404145,3.84582108084858,120,20,6,50,30,0.0,False,0
0,6.46565434878274,5.66032576940605,3.979860582835074,126,21,6,50,30,0.0,False,0
0,6.58738411718723,5.760406654178247,4.217307519603044,132,22,6,50,30,0.0,False,0
0,6.66181114110726,5.9547784356540845,4.00011232686324,138,23,6,50,30,0.0,False,0
0,6.6036350174269876,5.869103273755876,4.031662902062569,144,24,6,50,30,0.0,False,0
0,6.469582013622699,5.721808796576738,3.9849335139497897,150,25,6,50,30,0.0,False,0
0,6.4137711710609855,5.6182886671670005,4.05517928512,156,26,6,50,30,0.0,False,0
0,6.420727655634082,5.73376653787664,3.9023220957759315,162,27,6,50,30,0.0,False,0
0,6.510244779788695,5.725603542327306,3.9406896510828875,168,28,6,50,30,0.0,False,0
0,6.542036418959389,5.76214230987253,4.018799998793096,174,29,6,50,30,0.0,False,0
0,6.517059034694995,5.802383396426855,3.9176355496586237,180,30,6,50,30,0.0,False,0
0,6.5108340983994255,5.800356784554829,3.965645544386848,186,31,6,50,30,0.0,False,0
0,6.53967643829195,5.768127571568321,3.961264276331117,192,32,6,50,30,0.0,False,0
0,6.423663763463864,5.7987461707390295,3.885961437435338,198,33,6,50,30,0.0,False,0
0,7.504859583225036,6.805000849543418,4.297330877566037,7,1,7,50,30,0.0,False,0
0,6.925574496266016,6.365609031237383,3.985500599317024,14,2,7,50,30,0.0,False,0
0,6.591920219993235,5.950185261597227,3.843780563707371,21,3,7,50,30,0.0,False,0
0,6.353244421391733,5.741896779220546,3.6839027743278927,28,4,7,50,30,0.0,False,0
0,6.366997118097984,5.739644319732179,3.723852545810674,35,5,7,50,30,0.0,False,0
0,6.178524977089568,5.526607862229149,3.675213052022758,42,6,7,50,30,0.0,False,0
0,6.254162979428443,5.640006780397556,3.6692906353270156,49,7,7,50,30,0.0,False,0
0,6.306493963266733,5.638163163536952,3.802045261672796,56,8,7,50,30,0.0,False,0
0,6.073571335067239,5.492794125095131,3.6794620395373143,63,9,7,50,30,0.0,False,0
0,6.089452646598057,5.560177048331916,3.57782988568993,70,10,7,50,30,0.0,False,0
0,6.072803484932358,5.519452309789443,3.6427989001720005,77,11,7,50,30,0.0,False,0
0,6.072864432675813,5.411293425944926,3.629004262645585,84,12,7,50,30,0.0,False,0
0,6.113302070543162,5.488310747901437,3.6351525556702216,91,13,7,50,30,0.0,False,0
0,6.0315318114237995,5.41711246786096,3.60499997416103,98,14,7,50,30,0.0,False,0
0,5.9870391759977,5.436644834698058,3.493155773935333,105,15,7,50,30,0.0,False,0
