,plong,plat,total_samples,samples_per_sites,error_angle
94,313.9487696617654,88.79765159818517,40.0,[1.],1.202348401814831
95,141.9822836077509,85.55670709244755,40.0,[1.],4.443292907552447
96,306.03419663036516,85.60834042930685,40.0,[1.],4.39165957069315
97,26.009337432242138,88.72062542546853,40.0,[1.],1.2793745745314737
98,342.110360500893,86.26039588650359,40.0,[1.],3.739604113496412
99,245.90908190905165,86.9142697150393,40.0,[1.],3.085730284960704
100,210.7285416324477,89.3791861823184,40.0,[1.],0.6208138176815936
101,97.50684036445475,87.09284478431584,40.0,[1.],2.9071552156841562
102,105.3063607750737,85.65328887486045,40.0,[1.],4.346711125139549
103,296.2064559288432,85.760748073483,40.0,[1.],4.2392519265169994
104,336.02143687242113,86.79951991810404,40.0,[1.],3.200480081895961
105,45.50170481946566,88.88446736876523,40.0,[1.],1.115532631234771
106,268.38236310193537,88.51583225397924,40.0,[1.],1.4841677460207592
107,0.7626790200502339,86.70829765534336,40.0,[1.],3.291702344656642
108,181.36986044825585,89.4847088036531,40.0,[1.],0.5152911963468938
109,79.48708761447907,87.1731026620786,40.0,[1.],2.8268973379213946
110,58.441831440797685,85.39509687501184,40.0,[1.],4.604903124988155
111,180.4698355548114,84.73847470858254,40.0,[1.],5.261525291417456
112,93.66564113840604,84.75039128637373,40.0,[1.],5.249608713626273
113,224.25250872051492,89.10165966736615,40.0,[1.],0.8983403326338504
114,106.14106978463012,80.89836430674481,40.0,[1.],9.10163569325519
115,19.09928841991578,89.60918938138087,40.0,[1.],0.3908106186191276
116,18.198034549764355,87.60344689508403,40.0,[1.],2.3965531049159665
117,180.282520426707,87.46800566220493,40.0,[1.],2.5319943377950693
118,323.4621021539301,83.31870490899925,40.0,[1.],6.681295091000749
119,179.88399383815093,89.86052023533655,40.0,[1.],0.1394797646634487
120,140.55579725536393,85.61857910289038,40.0,[1.],4.381420897109621
121,114.81062284124508,83.85638596391883,40.0,[1.],6.143614036081175
122,208.49561567933898,86.55818639463554,40.0,[1.],3.441813605364459
123,271.10228828233755,83.73694973153754,40.0,[1.],6.2630502684624645
124,85.7326046755277,85.14249523693462,40.0,[1.],4.8575047630653785
125,350.6994950445272,86.99127846564858,40.0,[1.],3.008721534351423
126,40.996564631146576,84.15372884330033,40.0,[1.],5.846271156699672
127,8.974006650678776,85.78948289949776,40.0,[1.],4.210517100502244
128,109.93891765023908,85.99629677586364,40.0,[1.],4.003703224136359
129,212.40379342829436,89.29296573883097,40.0,[1.],0.7070342611690279
130,298.5757355119258,88.81464334083779,40.0,[1.],1.1853566591622098
131,321.35152143815174,89.43053319641186,40.0,[1.],0.5694668035881421
132,77.06964333453165,88.55882081944962,40.0,[1.],1.4411791805503782
133,260.6433431803166,87.01062593001075,40.0,[1.],2.9893740699892533
134,339.28464076929754,85.2012177923762,40.0,[1.],4.798782207623802
135,299.0613291955374,86.6103737327473,40.0,[1.],3.3896262672526944
136,87.64431735377516,87.2964421538133,40.0,[1.],2.7035578461866976
137,264.0030554339209,87.08711197737371,40.0,[1.],2.9128880226262908
138,28.212912839196274,87.59536723998772,40.0,[1.],2.4046327600122765
139,116.46517338242349,88.18882824567723,40.0,[1.],1.8111717543227712
140,259.1536409755298,86.68039555117261,40.0,[1.],3.3196044488273913
141,106.74755283041006,85.09601681828748,40.0,[1.],4.903983181712519
142,24.595173975423826,85.53299326284957,40.0,[1.],4.467006737150427
143,67.7553712744941,82.45841978211564,40.0,[1.],7.541580217884359
144,79.09967453081497,88.59452419341773,40.0,[1.],1.405475806582274
145,338.3716567825197,88.91344290778956,40.0,[1.],1.086557092210441
146,350.59591353648784,86.3917483319171,40.0,[1.],3.6082516680829
147,324.93595387280266,87.57870135736701,40.0,[1.],2.4212986426329905
148,41.58107787992675,87.93030367562453,40.0,[1.],2.069696324375471
149,339.49471777967636,89.05819902572664,40.0,[1.],0.9418009742733631
150,155.9213013732046,87.54612842369481,40.0,[1.],2.4538715763051897
151,79.04189388356879,87.25844838437449,40.0,[1.],2.741551615625511
152,14.290190710094388,88.71366818688689,40.0,[1.],1.286331813113108
153,211.23242915966227,87.86643120388474,40.0,[1.],2.133568796115256
154,67.38946940114175,86.14672573997126,40.0,[1.],3.8532742600287406
155,118.22679798615373,88.40968909115375,40.0,[1.],1.5903109088462486
156,294.5044614994936,85.51738447694622,40.0,[1.],4.482615523053781
157,170.85019117983506,87.76140320395275,40.0,[1.],2.238596796047247
