,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,9.244429871394725,8.52058456467681,18.53592117923149,5.098539612591032,50,50,1,20,70,0.0,0.35000000000000003,G,,False
0,5.052932763386039,4.703362186319687,10.12775334121484,2.725756687258847,50,10,5,60,30,0.0,0.65,G,,True
0,3.576707317258014,3.4176147402902757,7.100503330634706,1.87491293622333,50,10,5,30,0,0.0,0.0,G,,True
0,8.539810521612791,7.8714507641604925,17.23200815969196,4.82034179835401,50,50,1,40,50,0.0,0.4,G,,False
0,5.0985366191383035,4.713115035645693,10.278747955288813,2.765438942245292,50,10,5,10,20,0.0,0.15000000000000002,G,,True
0,5.501582742712815,4.907413565692707,11.790274364391736,3.2092922042906094,50,50,1,20,10,0.0,0.30000000000000004,G,,False
0,2.657875706822396,2.42572720312328,5.476138004952273,1.4747570511545989,50,50,1,100,0,0.0,0.1,G,,False
0,4.127830906886316,3.9776149244448646,8.228768300109536,2.223096841547995,50,10,5,70,20,0.0,0.6000000000000001,G,,True
0,8.47356101794668,7.990270658503498,16.116393712732755,4.452182037602311,50,10,5,40,80,0.0,0.5,G,,True
0,9.125584674763367,8.367269287762284,18.109101364286484,4.992822551105732,50,50,1,70,70,0.0,0.4,G,,False
0,5.775155337126093,5.407701884170791,11.102773524832331,2.9974098395823785,50,10,5,90,50,0.0,0.5,G,,True
0,9.864047753524893,8.545716501127956,20.85277651834978,6.367247439064963,50,50,1,100,0,0.0,0.55,G,,False
0,10.635355681815476,9.658988729720406,21.626796070616255,5.951425683645466,50,50,1,20,70,0.0,0.4,G,,False
0,5.641943377338246,5.130846299835312,11.590207709424392,3.1382104725002007,50,10,5,10,10,0.0,0.5,G,,True
0,4.791236352166539,4.500484664833749,9.117513721852447,2.5159360612204598,50,10,5,80,40,0.0,0.25,G,,True
0,17.83165566655821,14.990716515701394,39.90796149620021,12.201483571611435,50,50,1,80,20,0.0,0.7000000000000001,G,,False
0,2.1835025699653525,2.0073037005361485,4.4189388149589,1.2414742025058019,50,50,1,80,0,0.0,0.05,G,,False
0,7.718456010235046,7.2211496956779015,15.390913507565017,4.209379907601698,50,50,1,50,50,0.0,0.35000000000000003,G,,False
0,8.859360743755724,8.407803126587986,16.76113337136229,4.493360093284027,50,10,5,10,60,0.0,0.30000000000000004,G,,True
0,6.467632577746212,5.977790285538987,12.764987380086247,3.3782312825303857,50,10,5,10,40,0.0,0.1,G,,True
0,6.954787303145089,6.383512101528858,14.12536633040239,3.859741557096903,50,10,5,100,50,0.0,0.75,G,,True
0,12.799156491390828,11.476775652383502,26.59869934631565,7.445263610688383,50,50,1,60,70,0.0,0.55,G,,False
0,12.528323928920601,11.21751605239821,27.754318071161364,7.792179921295066,50,50,1,70,30,0.0,0.6000000000000001,G,,False
0,5.280504342024719,4.920189267882108,10.159762672656516,2.779515604197721,50,10,5,90,40,0.0,0.6000000000000001,G,,True
0,3.35288658504629,3.1035798016613967,6.620383267517951,1.756748062436131,50,10,5,70,0,0.0,0.1,G,,True
0,11.794855965217169,10.984679416731097,24.487465462524256,6.571390517398964,50,50,1,80,80,0.0,0.5,G,,False
0,9.665585760120535,9.017028615223822,19.89713433117886,5.350446844309873,50,50,1,20,80,0.0,0.35000000000000003,G,,False
0,7.709687400325644,7.193068273399874,15.26781648243302,4.099594202178103,50,10,5,60,70,0.0,0.55,G,,True
0,22.128648778664513,20.40241232830511,43.994707113860116,12.492117093539017,50,50,1,70,80,0.0,0.7000000000000001,G,,False
0,8.687741640612167,7.733674182953159,18.09445654864873,5.313645098810909,50,50,1,80,0,0.0,0.5,G,,False
0,13.843310106990034,12.596706578528888,30.346561812978305,8.324290837970988,50,50,1,40,40,0.0,0.6000000000000001,G,,False
0,2.5284905736301932,2.3730922305144304,4.900521604477021,1.3302589312636963,50,50,1,50,30,0.0,0.0,G,,False
0,4.3653583625077905,4.055506075183196,8.320334659604809,2.2854460016600036,50,50,1,30,30,0.0,0.15000000000000002,G,,False
0,5.135064178727769,4.670384825048004,10.492813141751133,2.8713894580832613,50,10,5,40,20,0.0,0.7000000000000001,G,,True
0,5.675104876866853,5.280479409226146,11.32649625615038,2.971143195033118,50,50,1,40,70,0.0,0.15000000000000002,G,,False
0,11.843026997487208,10.569861685788354,25.884828006194564,7.393079197903666,50,50,1,70,0,0.0,0.6000000000000001,G,,False
0,6.247711950161385,5.575298526013157,12.676656240956905,3.5368897263209136,50,50,1,80,10,0.0,0.4,G,,False
0,21.50880964692507,19.44045179666147,44.56093492158381,12.213396874978537,50,50,1,10,60,0.0,0.65,G,,False
0,4.742589680632525,4.385509324273833,9.783650801622443,2.5671022560146444,50,10,5,30,0,0.0,0.7000000000000001,G,,True
0,12.953529147332,11.785729107916353,28.0227638040473,7.8085463371599495,50,50,1,60,60,0.0,0.55,G,,False
0,5.097230397526253,4.78154569170799,9.85540293394701,2.6330655863538905,50,10,5,100,40,0.0,0.55,G,,True
0,4.591921302079905,4.299091839120834,9.289868061414346,2.4400519045966114,50,10,5,90,40,0.0,0.1,G,,True
0,10.330066554770646,9.6737113838321,20.259700095923904,5.292388792380054,50,10,5,10,80,0.0,0.25,G,,True
0,6.306927405635509,5.961390532173112,12.383814704642086,3.258816912538592,50,10,5,30,50,0.0,0.4,G,,True
0,9.571675352637845,9.039726250651185,18.672217711192882,5.019144818059209,50,10,5,10,50,0.0,0.5,G,,True
0,6.921978674802691,6.510540238720594,13.456091622652513,3.6279834783429568,50,10,5,40,70,0.0,0.05,G,,True
0,3.643967717147094,3.5093712823576553,7.09815550862453,1.9024253843862986,50,10,5,90,20,0.0,0.2,G,,True
0,4.628544157381548,4.269563972457789,9.413001689290502,2.49730335000739,50,10,5,50,0,0.0,0.75,G,,True
0,4.12787961260647,3.8104533574969253,8.278568693149266,2.1941296398080015,50,50,1,50,50,0.0,0.1,G,,False
0,12.973821719591752,11.819820328679505,27.09077656428352,8.245490880521974,50,50,1,40,30,0.0,0.6000000000000001,G,,False
